Section,Dist.(Km),Location,River,Unnamed: 4,Unnamed: 5,Unnamed: 6,Classification of Particles,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Color and Quantities,Unnamed: 15,Type & Match
S-40,62.4,"Char Kishorganj , Munshiganj",Dhaleshwari,"Lmax=0.82
Lmin=0.10
Black, Red,Blue",36,"Lmax=0.13
Lmin=0.03
Bmax=0.09
Bmin=0.03
Black ,Blue, Blood Red",26,"Lmax=0.37
Lmin=0.02
Bmax=0.09
Bmin=0.04
White, Transparent",17,"Dmax=0.30
Dmin=0.10
Black, Brown",13,"Dmax=0.24
Dmin=0.06
White",2,"Black, White ,Blood Red, Brown, Transparent, Blue and Red,",94,"Alkyd Resin-86.44%
Polyvinyl Stearate-73.06%

Poly(ethylene, propylene, and diene)- 72.28%"
S-41,64.0,"Kalagachia, Bandar",Shitalakshya,"Lmax=1.93
Lmin=0.34
Red,Black",8,"Lmax=0.73
Lmin=0.14
Bmax=0.49
Bmin=0.09
Black ,Blood Red",21,"Lmax=0.45
Lmin=0.07
Bmax=0.09
Bmin=0.02
White, Transparent",6,"Dmax=0.13
Dmin=0.03
Black, Brown",12,0,,"Black, White ,Blood Red, Brown, Transparent and Red,",47,"Polyethylene Glycol-29.57%
Polyvinyl Alcohol-29.26%"
S-42,65.6,"Kalagachia, Bandar",Shitalakshya,"Lmax=0.78
Lmin=0.28
Black, Red",14,"Lmax=0.23
Lmin=0.09
Bmax=0.12
Bmin=0.05
Black, Red, Golden",27,"Lmax=0.24
Lmin=0.09
Bmax=0.18
Bmin=0.06
White, Silver",8,"Dmax=0.23
Dmin=0.05
Black, Brown",10,"Dmax=0.45
Dmin=0.04
White",1,"Black, White, Red, Brown, Silver and Golden",60,"Polyethylene Glycol-22.68%
Polyvinyl Alcohol-24.61%"
S-43,67.2,Modonganj,Shitalakshya,"Lmax=1.68
Lmin=0.09
Black ,Blue",16,"Lmax=0.13
Lmin=0.03
Bmax=0.07
Bmin=0.04
Black, Dark Red, Brown",34,"Lmax=0.28
Lmin=0.04
Bmax=0.09
Bmin=0.03
White, Transparent,",11,"Dmax=0.08
Dmin=0.03
Black, Brown",13,"Dmax=0.08
Dmin=0.02
White",3,"Black, White, Blue, Dark Red, and Transparent",77,"Alkyd Resin-86.83%
Polyvinyl Stearate-84.15%"
S-44,68.8,Nasim Usman 3rd Bridge,Shitalakshya,"Lmax=3.41
Lmin= 0.22
Black",19,"Lmax=0.11
Lmin=0.02
Bmax=0.05
Bmin=0.02
Blue ,Black, Red",56,"Lmax=0.05
Lmin=0.02
Bmax=0.04
Bmin=0.02
White, Transparent",12,"Dmax=0.04
Dmin=0.02
Black ,Dark red",21,"Dmax=0.11
Dmin=0.04
white",2,"Black, White, Blue, Red, Dark Red, Transparent",110,"Alkyd Resin-83.56%
Polyvinyl Stearate-81.90%"
S-45,70.4,"Nitaigonj, Narayanganj",Shitalakshya,"Lmax=0.13
Lmin=0.05
Black",9,"Lmax=0.07
Lmin=0.02
Bmax=0.05
Bmin=0.02
Blue ,Black, Red",29,"Lmax=0.05
Lmin=0.02
Bmax=0.04
Bmin=0.02
White, Transparent",12,"Dmax=0.04
Dmin=0.02
Black ,Dark red",16,0,,"Black, White, Blue, Red, Dark Red, Transparent",66,"Alkyd Resin-88.68%
Polyvinyl Stearate-88.45%"
S-46,72.0,5th BIWTA Ghat,Shitalakshya,"Lmax=1.63
Lmin=0.05
Black ,Blue, Red",8,"Lmax=0.18
Lmin=0.02
Bmax=0.32
Bmin=0.08
Black, Dark Red, Brown",21,"Lmax=0.22
Lmin=0.09
Bmax=0.63
Bmin=0.05
White, Transparent",8,"Dmax=0.2
Dmin=0.03
Black, Brown",11,"Dmax=0.11
Dmin=0.03
white",1,"Black, White, Red, Brown, Blue, Dark Red, and Transparent",49,"Nylon II-32.83%
ABS (acrylonitrile butadiene styrene)- 20.33%
Polyethylene Film-12.78%"
S-47,73.6,Hajiganj(Borofkol),Shitalakshya,"Lmax=0.66
Lmin=0.12
Black, Blue, Red",13,"Lmax=0.19
Lmin=0.10
Bmax=0.12
Bmin=0.05
Black, Blue, Blood Red, Brown",38,"Lmax=0.32
Lmin=0.02
Bmax=0.11
Bmin=0.04
White, Transparent",7,"Dmax=0.41
Dmin=0.07
Black, Brown",6,0,,"Black, White ,Blood Red, Brown, Transparent, Blue and Red,",64,"Alkyd Resin-80.13%
Polyvinyl Stearate-79.58%"
S-48,75.2,Luxminarayan Ghat,Shitalakshya,"Lmax=1.21
Lmin=0.08
Black, Red",16,"Lmax=0.47
Lmin=0.04
Bmax=0.09
Bmin=0.03
Black, Blue, Blood Red",44,"Lmax=0.22
Lmin=0.09
Bmax=0.13
Bmin=0.04
White, Transparent",16,"Dmax=0.18
Dmin=0.04
Black, Brown",12,0,,"Black, White, Blood Red, Brown, Transparent, and Blue",88,"Alkyd Resin-49.53%
Poly(ethylene, propylene, and diene)- 44.07%
Poly(Methyphenylsiloxane)-25.26%
Polyethylene Glycol-32.56%"
S-49,76.8,"Godenail, Narayanganj",Shitalakshya,"Lmax=2.07
Lmin=0.08
Black, Blue",23,"Lmax=0.04
Lmin=0.02
Bmax=0.04
Bmin=0.02
Black ,Blue ,Red",37,"Lmax=0.24
Lmin=0.03
Bmax=0.06
Bmin=0.02
White, Transparent",12,"Dmax=0.04
Dmin=0.02
Black, Brown",8,"Dmax=0.12
Dmin=0.03
White",2,"Black, White, Brown, Transparent, Blue and Red",82,"Alkyd Resin-83.24%
Polyvinyl Stearate-77.11%"
S-50,78.4,Siddirganj,Shitalakshya,"Lmax=1.01
Lmin=0.19
Black ,Red, Blue, Green",29,"Lmax=0.12
Lmin=0.03
Bmax=0.07
Bmin=0.02
Black ,Dark Red, Green",43,"Lmax=0.07
Lmin=0.02
Bmax=0.15
Bmin=0.03
White, Transparent",16,"Dmax=0.07
Dmin=0.03
Black, Brown",22,0,,"Black, White, Red, Brown, Green, Blue, Dark Red, and Transparent",110,"Polyvinyl Alcohol-25.13%
Nylon II-23.91%
Polyethylene Glycol-23.32%"
S-51,80.0,Siddirganj,Shitalakshya,"Lmax=0.87
Lmin=0.20
Black, Blue, Red",17,"Lmax=0.12
Lmin=0.03
Bmax=0.08
Bmin=0.03
Black, Brown",31,"Lmax=0.10
Lmin=0.03
Bmax=0.7
Bmin=0.4
White, Transparent",16,"Dmax=0.10
Dmin=0.03
Black, Brown",13,0,,"Black, White, Brown, Transparent, Blue and Red",77,"Nylon II-43.44%
Linear low Density Polyethylene-32.76%
Polyvinyl Alcohol-23.57%"
S-52,81.6,Kanchpur Bridge,Shitalakshya,"Lmax=1.62
Lmin=0.23
Black, Blue, Red",32,"Lmax=0.11
Lmin=0.03
Bmax=0.06
Bmin=0.02
Black, Blue, Dark Red",47,"Lmax=0.11
Lmin=0.03
Bmax=0.09
Bmin=0.07
White, Transparent",14,"Dmax=0.10
Dmin=0.04
Black, Brown",18,"Dmax=0.07
Dmin=0.02
White",3,"Black, White, Red, Brown, Blue, Dark Red, and Transparent",114,"Nylon II-32.82%
ABS (acrylonitrile butadiene styrene)- 17.57%
Polyamide 6-14.02%"
